app_id,genres,tags,review_score,owners_midpoint
204180,"Adventure, Indie, Strategy","2D, Action, Adventure, Arcade, Atmospheric, Casual, Difficult, Fantasy, Great Soundtrack, Indie, Puzzle, Rhythm, Sci-fi, Shoot 'Em Up, Singleplayer, Space, Strategy",8.0,350000.0
220740,"Adventure, Indie","2D, Adventure, Atmospheric, Classic, Comedy, Dark Humor, Escape Room, Funny, Great Soundtrack, Hand-drawn, Indie, Point & Click, Puzzle, Retro, Sci-fi, Singleplayer, Steampunk, Story Rich",8.0,750000.0
241910,"Adventure, Indie","1990's, 2D, Adventure, Classic, Comedy, Cult Classic, Escape Room, Funny, Great Soundtrack, Hand-drawn, Indie, Nudity, Point & Click, Puzzle, Retro, Sexual Content, Singleplayer, Steampunk, Story Rich",8.0,750000.0
292500,"Action, Adventure, Indie","2D, Action, Adventure, Arcade, Classic, Controller, Difficult, Fantasy, Great Soundtrack, Indie, Pixel Graphics, Platformer, Retro, Satire, Shoot 'Em Up, Shooter, Side Scroller, Silent Protagonist, Singleplayer, Soundtrack",8.0,350000.0
301190,"Action, Casual, Indie","Action, Casual, Comedy, Great Soundtrack, Indie, Music, Rhythm, Singleplayer, Touch-Friendly",8.0,150000.0
303260,"Action, Adventure, Indie","Action, Adventure, Co-op, Indie, Local Co-Op, Metroidvania, Platformer",5.0,35000.0
305500,"Action, Indie, RPG","Action, Indie, RPG, Zombies",5.0,75000.0
305800,"Action, Indie","Action, Experimental, Great Soundtrack, Indie, Pixel Graphics, Psychedelic, Retro, Short",5.0,10000.0
336160,"Action, Indie","2D, Action, Indie, Pixel Graphics, Twin Stick Shooter",7.0,35000.0
345580,"Action, Indie, Simulation, Strategy","3D, Action, Artificial Intelligence, Building, Combat, Exploration, Flight, Futuristic, Indie, Massively Multiplayer, Multiplayer, Open World, Sandbox, Sci-fi, Simulation, Singleplayer, Space, Space Sim, Strategy, Survival",5.0,75000.0
352030,"Action, Adventure, Indie, RPG","Action, Adventure, Indie, RPG",6.0,10000.0
352750,"Casual, Indie, Simulation, Strategy","Casual, Indie, Simulation, Strategy",4.0,10000.0
365320,Indie,"Atmospheric, Horror, Indie, Sci-fi, Stealth, Survival Horror",5.0,10000.0
370590,"Action, Casual, Indie","Action, Casual, Free to Play, Indie, Multiplayer",5.0,35000.0
374170,"Action, Casual, Early Access, Indie","Action, Casual, Early Access, Indie, Sniper",5.0,10000.0
414730,"Adventure, Casual, Free To Play, Indie","Adventure, Anime, Casual, Clicker, Free to Play, Indie, Multiplayer, Singleplayer",5.0,150000.0
432330,Audio Production,"Audio Production, Indie",6.0,10000.0
435070,"Adventure, Indie","Adventure, Indie, Point & Click",5.0,35000.0
