name,release_year,developer,price_usd,pct_positive,metacritic,units_millions,revenue_musd,peak_ccu,genres,key_tags,evidence_strength,scale_tier,gamepass_status,source
R.E.P.O.,2025,semiwork,9.99,96.1,,18.4,145.8,271000,"Action, Indie","Co-op, Horror, Comedy, Multiplayer, Online Co-Op, Physics",strong,indie,unverified,https://medium.com/@research_86150/steam-in-2025-the-year-indie-games-ate-the-industry-alive-666abf04551f
PEAK,2025,"Aggro Crab, Landfall",7.99,94.6,,15.7,92.3,170000,"Adventure, Indie","Co-op, Survival, Climbing, Multiplayer, Physics, Comedy",strong,indie,unverified,https://medium.com/@research_86150/steam-in-2025-the-year-indie-games-ate-the-industry-alive-666abf04551f
Schedule I,2025,TVGS,19.99,97.8,,8.0,139.4,459000,"Simulation, Indie, Strategy","Co-op, Crime, Open World, Management, Multiplayer, Sandbox",strong,indie,unverified,https://medium.com/@research_86150/steam-in-2025-the-year-indie-games-ate-the-industry-alive-666abf04551f
Hollow Knight: Silksong,2025,Team Cherry,19.99,87.3,90,5.1,81.6,,"Action, Adventure, Indie","Metroidvania, 2D, Souls-like, Platformer, Difficult, Atmospheric",strong,indie,on_gamepass,https://respawn.outlookindia.com/gaming/gaming-news/xbox-game-pass-march-2026-cyberpunk-2077-silksong-lead-wave-1
Megabonk,2025,Vedinad,,94.0,,1.0,,117000,"Action, Indie","Roguelike, Bullet Heaven, 3D, Action Roguelike, Singleplayer",strong,indie,unverified,https://www.thegamer.com/megabonk-eighth-indie-to-hit-over-100000-steam-players-this-year/
Hades II,2025,Supergiant Games,,,95,,,,"Action, Indie, RPG","Roguelike, Action Roguelike, Dungeon Crawler, Isometric, Mythology",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Deltarune,2025,Toby Fox,,,86,,,,"Adventure, Indie, RPG","Story Rich, Turn-Based, Pixel Graphics, Comedy, Singleplayer",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Bongo Cat,2025,Irox Games,0.00,,,,,194000,"Casual, Indie, Free To Play","Idle, Clicker, Cute, Free to Play, Casual",medium,indie,unverified,https://www.thegamer.com/megabonk-eighth-indie-to-hit-over-100000-steam-players-this-year/
Blue Prince,2025,Dogubomb,,,92,,,,"Adventure, Indie, Strategy","Puzzle, Roguelite, Mystery, Exploration, Singleplayer, Atmospheric",strong,indie,unverified,https://outrungaming.com/the-25-best-indie-games-of-2025/
Dispatch,2025,AdHoc Studio,29.99,,89,,,,"Adventure, Indie","Story Rich, Choices Matter, Episodic, Comedy, Superhero",strong,indie,unverified,https://kotaku.com/steam-top-selling-2025-friendslop-rpgs-sales-2000654157
